"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"Alken",1357,768,0.565954310980103,"male","70_74",92,60,5,0,0,0,0,1,1,0
"Alken",1357,768,0.565954310980103,"female","70_74",89,59,5,0,0,0,0,1,0,1
"Alveringem",468,196,0.418803418803419,"male","50_54",71,18,1,1,0,0,0,0,1,0
"Alveringem",468,196,0.418803418803419,"female","50_54",75,30,1,1,0,0,0,0,0,1
"Alveringem",468,196,0.418803418803419,"male","55_59",75,29,2,0,1,0,0,0,1,0
"Alveringem",468,196,0.418803418803419,"female","55_59",47,24,2,0,1,0,0,0,0,1
"Alveringem",468,196,0.418803418803419,"male","60_64",46,24,3,0,0,1,0,0,1,0
"Alveringem",468,196,0.418803418803419,"female","60_64",44,25,3,0,0,1,0,0,0,1
"Alveringem",468,196,0.418803418803419,"male","65_69",28,12,4,0,0,0,1,0,1,0
"Alveringem",468,196,0.418803418803419,"female","65_69",30,14,4,0,0,0,1,0,0,1
"Alveringem",468,196,0.418803418803419,"male","70_74",30,12,5,0,0,0,0,1,1,0
"Alveringem",468,196,0.418803418803419,"female","70_74",22,8,5,0,0,0,0,1,0,1
"Antwerpen",49104,18527,0.377301238188335,"male","50_54",9116,2454,1,1,0,0,0,0,1,0
"Antwerpen",49104,18527,0.377301238188335,"female","50_54",7753,2645,1,1,0,0,0,0,0,1
"Antwerpen",49104,18527,0.377301238188335,"male","55_59",6690,1963,2,0,1,0,0,0,1,0
"Antwerpen",49104,18527,0.377301238188335,"female","55_59",5654,2108,2,0,1,0,0,0,0,1
"Antwerpen",49104,18527,0.377301238188335,"male","60_64",4040,1786,3,0,0,1,0,0,1,0
"Antwerpen",49104,18527,0.377301238188335,"female","60_64",4012,1996,3,0,0,1,0,0,0,1
"Antwerpen",49104,18527,0.377301238188335,"male","65_69",2929,1337,4,0,0,0,1,0,1,0
"Antwerpen",49104,18527,0.377301238188335,"female","65_69",3098,1556,4,0,0,0,1,0,0,1
"Antwerpen",49104,18527,0.377301238188335,"male","70_74",2701,1215,5,0,0,0,0,1,1,0
"Antwerpen",49104,18527,0.377301238188335,"female","70_74",3111,1467,5,0,0,0,0,1,0,1
"Anzegem",1668,814,0.488009592326139,"male","50_54",274,102,1,1,0,0,0,0,1,0
"Anzegem",1668,814,0.488009592326139,"female","50_54",246,114,1,1,0,0,0,0,0,1
"Anzegem",1668,814,0.488009592326139,"male","55_59",224,93,2,0,1,0,0,0,1,0
"Anzegem",1668,814,0.488009592326139,"female","55_59",201,95,2,0,1,0,0,0,0,1
"Anzegem",1668,814,0.488009592326139,"male","60_64",135,71,3,0,0,1,0,0,1,0
"Anzegem",1668,814,0.488009592326139,"female","60_64",134,86,3,0,0,1,0,0,0,1
"Anzegem",1668,814,0.488009592326139,"male","65_69",116,76,4,0,0,0,1,0,1,0
"Anzegem",1668,814,0.488009592326139,"female","65_69",121,74,4,0,0,0,1,0,0,1
"Anzegem",1668,814,0.488009592326139,"male","70_74",104,48,5,0,0,0,0,1,1,0
"Anzegem",1668,814,0.488009592326139,"female","70_74",113,55,5,0,0,0,0,1,0,1
"Ardooie",1002,506,0.50499001996008,"male","50_54",149,56,1,1,0,0,0,0,1,0
"Ardooie",1002,506,0.50499001996008,"female","50_54",124,65,1,1,0,0,0,0,0,1
"Ardooie",1002,506,0.50499001996008,"male","55_59",134,58,2,0,1,0,0,0,1,0
"Ardooie",1002,506,0.50499001996008,"female","55_59",133,68,2,0,1,0,0,0,0,1
"Ardooie",1002,506,0.50499001996008,"male","60_64",92,47,3,0,0,1,0,0,1,0
"Ardooie",1002,506,0.50499001996008,"female","60_64",88,54,3,0,0,1,0,0,0,1
"Ardooie",1002,506,0.50499001996008,"male","65_69",73,39,4,0,0,0,1,0,1,0
"Ardooie",1002,506,0.50499001996008,"female","65_69",76,43,4,0,0,0,1,0,0,1
"Ardooie",1002,506,0.50499001996008,"male","70_74",62,31,5,0,0,0,0,1,1,0
"Ardooie",1002,506,0.50499001996008,"female","70_74",71,45,5,0,0,0,0,1,0,1
"Arendonk",1587,884,0.557025834908633,"male","50_54",263,117,1,1,0,0,0,0,1,0
"Arendonk",1587,884,0.557025834908633,"female","50_54",250,140,1,1,0,0,0,0,0,1
"Arendonk",1587,884,0.557025834908633,"male","55_59",234,128,2,0,1,0,0,0,1,0
"Arendonk",1587,884,0.557025834908633,"female","55_59",185,105,2,0,1,0,0,0,0,1
"Arendonk",1587,884,0.557025834908633,"male","60_64",143,84,3,0,0,1,0,0,1,0
"Arendonk",1587,884,0.557025834908633,"female","60_64",137,85,3,0,0,1,0,0,0,1
"Arendonk",1587,884,0.557025834908633,"male","65_69",96,57,4,0,0,0,1,0,1,0
"Arendonk",1587,884,0.557025834908633,"female","65_69",81,55,4,0,0,0,1,0,0,1
"Arendonk",1587,884,0.557025834908633,"male","70_74",96,55,5,0,0,0,0,1,1,0
"Arendonk",1587,884,0.557025834908633,"female","70_74",102,58,5,0,0,0,0,1,0,1
"As",923,497,0.538461538461538,"male","50_54",146,61,1,1,0,0,0,0,1,0
"As",923,497,0.538461538461538,"female","50_54",118,57,1,1,0,0,0,0,0,1
"As",923,497,0.538461538461538,"male","55_59",124,64,2,0,1,0,0,0,1,0
"As",923,497,0.538461538461538,"female","55_59",109,55,2,0,1,0,0,0,0,1
"As",923,497,0.538461538461538,"male","60_64",88,54,3,0,0,1,0,0,1,0
"As",923,497,0.538461538461538,"female","60_64",88,61,3,0,0,1,0,0,0,1
"As",923,497,0.538461538461538,"male","65_69",65,38,4,0,0,0,1,0,1,0
