"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"Essen",2379,1356,0.569987389659521,"male","60_64",224,143,3,0,0,1,0,0,1,0
"Essen",2379,1356,0.569987389659521,"female","60_64",207,139,3,0,0,1,0,0,0,1
"Essen",2379,1356,0.569987389659521,"male","65_69",172,127,4,0,0,0,1,0,1,0
"Essen",2379,1356,0.569987389659521,"female","65_69",148,103,4,0,0,0,1,0,0,1
"Essen",2379,1356,0.569987389659521,"male","70_74",146,92,5,0,0,0,0,1,1,0
"Essen",2379,1356,0.569987389659521,"female","70_74",156,103,5,0,0,0,0,1,0,1
"Evergem",4099,2164,0.527933642351793,"male","50_54",654,267,1,1,0,0,0,0,1,0
"Evergem",4099,2164,0.527933642351793,"female","50_54",646,319,1,1,0,0,0,0,0,1
"Evergem",4099,2164,0.527933642351793,"male","55_59",530,229,2,0,1,0,0,0,1,0
"Evergem",4099,2164,0.527933642351793,"female","55_59",509,254,2,0,1,0,0,0,0,1
"Evergem",4099,2164,0.527933642351793,"male","60_64",376,249,3,0,0,1,0,0,1,0
"Evergem",4099,2164,0.527933642351793,"female","60_64",317,203,3,0,0,1,0,0,0,1
"Evergem",4099,2164,0.527933642351793,"male","65_69",273,163,4,0,0,0,1,0,1,0
"Evergem",4099,2164,0.527933642351793,"female","65_69",262,161,4,0,0,0,1,0,0,1
"Evergem",4099,2164,0.527933642351793,"male","70_74",237,138,5,0,0,0,0,1,1,0
"Evergem",4099,2164,0.527933642351793,"female","70_74",295,181,5,0,0,0,0,1,0,1
"Galmaarden",993,454,0.457200402819738,"male","50_54",147,63,1,1,0,0,0,0,1,0
"Galmaarden",993,454,0.457200402819738,"female","50_54",135,53,1,1,0,0,0,0,0,1
"Galmaarden",993,454,0.457200402819738,"male","55_59",157,60,2,0,1,0,0,0,1,0
"Galmaarden",993,454,0.457200402819738,"female","55_59",119,53,2,0,1,0,0,0,0,1
"Galmaarden",993,454,0.457200402819738,"male","60_64",84,41,3,0,0,1,0,0,1,0
"Galmaarden",993,454,0.457200402819738,"female","60_64",87,51,3,0,0,1,0,0,0,1
"Galmaarden",993,454,0.457200402819738,"male","65_69",68,35,4,0,0,0,1,0,1,0
"Galmaarden",993,454,0.457200402819738,"female","65_69",66,35,4,0,0,0,1,0,0,1
"Galmaarden",993,454,0.457200402819738,"male","70_74",51,24,5,0,0,0,0,1,1,0
"Galmaarden",993,454,0.457200402819738,"female","70_74",79,39,5,0,0,0,0,1,0,1
"Gavere",1464,797,0.544398907103825,"male","50_54",245,105,1,1,0,0,0,0,1,0
"Gavere",1464,797,0.544398907103825,"female","50_54",196,117,1,1,0,0,0,0,0,1
"Gavere",1464,797,0.544398907103825,"male","55_59",210,97,2,0,1,0,0,0,1,0
"Gavere",1464,797,0.544398907103825,"female","55_59",176,91,2,0,1,0,0,0,0,1
"Gavere",1464,797,0.544398907103825,"male","60_64",147,96,3,0,0,1,0,0,1,0
"Gavere",1464,797,0.544398907103825,"female","60_64",113,68,3,0,0,1,0,0,0,1
"Gavere",1464,797,0.544398907103825,"male","65_69",103,60,4,0,0,0,1,0,1,0
"Gavere",1464,797,0.544398907103825,"female","65_69",106,60,4,0,0,0,1,0,0,1
"Gavere",1464,797,0.544398907103825,"male","70_74",75,46,5,0,0,0,0,1,1,0
"Gavere",1464,797,0.544398907103825,"female","70_74",93,57,5,0,0,0,0,1,0,1
"Geel",4576,2373,0.518575174825175,"male","50_54",745,287,1,1,0,0,0,0,1,0
"Geel",4576,2373,0.518575174825175,"female","50_54",726,356,1,1,0,0,0,0,0,1
"Geel",4576,2373,0.518575174825175,"male","55_59",594,260,2,0,1,0,0,0,1,0
"Geel",4576,2373,0.518575174825175,"female","55_59",521,256,2,0,1,0,0,0,0,1
"Geel",4576,2373,0.518575174825175,"male","60_64",413,255,3,0,0,1,0,0,1,0
"Geel",4576,2373,0.518575174825175,"female","60_64",389,240,3,0,0,1,0,0,0,1
"Geel",4576,2373,0.518575174825175,"male","65_69",292,189,4,0,0,0,1,0,1,0
"Geel",4576,2373,0.518575174825175,"female","65_69",310,191,4,0,0,0,1,0,0,1
"Geel",4576,2373,0.518575174825175,"male","70_74",299,178,5,0,0,0,0,1,1,0
"Geel",4576,2373,0.518575174825175,"female","70_74",287,161,5,0,0,0,0,1,0,1
"Geetbets",717,336,0.468619246861925,"male","50_54",97,33,1,1,0,0,0,0,1,0
"Geetbets",717,336,0.468619246861925,"female","50_54",96,45,1,1,0,0,0,0,0,1
"Geetbets",717,336,0.468619246861925,"male","55_59",91,30,2,0,1,0,0,0,1,0
"Geetbets",717,336,0.468619246861925,"female","55_59",94,42,2,0,1,0,0,0,0,1
"Geetbets",717,336,0.468619246861925,"male","60_64",64,40,3,0,0,1,0,0,1,0
"Geetbets",717,336,0.468619246861925,"female","60_64",74,45,3,0,0,1,0,0,0,1
"Geetbets",717,336,0.468619246861925,"male","65_69",50,26,4,0,0,0,1,0,1,0
"Geetbets",717,336,0.468619246861925,"female","65_69",44,23,4,0,0,0,1,0,0,1
"Geetbets",717,336,0.468619246861925,"male","70_74",61,26,5,0,0,0,0,1,1,0
"Geetbets",717,336,0.468619246861925,"female","70_74",46,26,5,0,0,0,0,1,0,1
"Genk",7448,3331,0.447234156820623,"male","50_54",1164,362,1,1,0,0,0,0,1,0
"Genk",7448,3331,0.447234156820623,"female","50_54",1105,402,1,1,0,0,0,0,0,1
"Genk",7448,3331,0.447234156820623,"male","55_59",930,346,2,0,1,0,0,0,1,0
"Genk",7448,3331,0.447234156820623,"female","55_59",865,379,2,0,1,0,0,0,0,1
"Genk",7448,3331,0.447234156820623,"male","60_64",655,350,3,0,0,1,0,0,1,0
"Genk",7448,3331,0.447234156820623,"female","60_64",731,408,3,0,0,1,0,0,0,1
"Genk",7448,3331,0.447234156820623,"male","65_69",482,279,4,0,0,0,1,0,1,0
"Genk",7448,3331,0.447234156820623,"female","65_69",530,292,4,0,0,0,1,0,0,1
"Genk",7448,3331,0.447234156820623,"male","70_74",464,246,5,0,0,0,0,1,1,0
"Genk",7448,3331,0.447234156820623,"female","70_74",522,267,5,0,0,0,0,1,0,1
"Gent",23981,10360,0.432008673533214,"male","50_54",4210,1352,1,1,0,0,0,0,1,0
"Gent",23981,10360,0.432008673533214,"female","50_54",3686,1465,1,1,0,0,0,0,0,1
"Gent",23981,10360,0.432008673533214,"male","55_59",3080,1076,2,0,1,0,0,0,1,0
"Gent",23981,10360,0.432008673533214,"female","55_59",2872,1238,2,0,1,0,0,0,0,1
"Gent",23981,10360,0.432008673533214,"male","60_64",2030,1030,3,0,0,1,0,0,1,0
"Gent",23981,10360,0.432008673533214,"female","60_64",2034,1091,3,0,0,1,0,0,0,1
"Gent",23981,10360,0.432008673533214,"male","65_69",1403,749,4,0,0,0,1,0,1,0
"Gent",23981,10360,0.432008673533214,"female","65_69",1624,851,4,0,0,0,1,0,0,1
"Gent",23981,10360,0.432008673533214,"male","70_74",1352,645,5,0,0,0,0,1,1,0
"Gent",23981,10360,0.432008673533214,"female","70_74",1690,863,5,0,0,0,0,1,0,1
"Geraardsbergen",4019,1731,0.430704155262503,"male","50_54",662,215,1,1,0,0,0,0,1,0
"Geraardsbergen",4019,1731,0.430704155262503,"female","50_54",628,239,1,1,0,0,0,0,0,1
"Geraardsbergen",4019,1731,0.430704155262503,"male","55_59",565,193,2,0,1,0,0,0,1,0
"Geraardsbergen",4019,1731,0.430704155262503,"female","55_59",478,209,2,0,1,0,0,0,0,1
"Geraardsbergen",4019,1731,0.430704155262503,"male","60_64",341,184,3,0,0,1,0,0,1,0
"Geraardsbergen",4019,1731,0.430704155262503,"female","60_64",340,188,3,0,0,1,0,0,0,1
"Geraardsbergen",4019,1731,0.430704155262503,"male","65_69",234,114,4,0,0,0,1,0,1,0
"Geraardsbergen",4019,1731,0.430704155262503,"female","65_69",244,124,4,0,0,0,1,0,0,1
"Geraardsbergen",4019,1731,0.430704155262503,"male","70_74",258,136,5,0,0,0,0,1,1,0
"Geraardsbergen",4019,1731,0.430704155262503,"female","70_74",269,129,5,0,0,0,0,1,0,1
"Gingelom",967,439,0.453981385729059,"male","50_54",156,48,1,1,0,0,0,0,1,0
"Gingelom",967,439,0.453981385729059,"female","50_54",160,75,1,1,0,0,0,0,0,1
"Gingelom",967,439,0.453981385729059,"male","55_59",128,56,2,0,1,0,0,0,1,0
"Gingelom",967,439,0.453981385729059,"female","55_59",112,56,2,0,1,0,0,0,0,1
"Gingelom",967,439,0.453981385729059,"male","60_64",80,39,3,0,0,1,0,0,1,0
"Gingelom",967,439,0.453981385729059,"female","60_64",80,42,3,0,0,1,0,0,0,1
"Gingelom",967,439,0.453981385729059,"male","65_69",77,39,4,0,0,0,1,0,1,0
"Gingelom",967,439,0.453981385729059,"female","65_69",59,28,4,0,0,0,1,0,0,1
"Gingelom",967,439,0.453981385729059,"male","70_74",60,27,5,0,0,0,0,1,1,0
"Gingelom",967,439,0.453981385729059,"female","70_74",55,29,5,0,0,0,0,1,0,1
"Gistel",1396,752,0.538681948424069,"male","50_54",206,94,1,1,0,0,0,0,1,0
"Gistel",1396,752,0.538681948424069,"female","50_54",217,111,1,1,0,0,0,0,0,1
"Gistel",1396,752,0.538681948424069,"male","55_59",190,76,2,0,1,0,0,0,1,0
"Gistel",1396,752,0.538681948424069,"female","55_59",163,83,2,0,1,0,0,0,0,1
"Gistel",1396,752,0.538681948424069,"male","60_64",116,78,3,0,0,1,0,0,1,0
"Gistel",1396,752,0.538681948424069,"female","60_64",129,80,3,0,0,1,0,0,0,1
"Gistel",1396,752,0.538681948424069,"male","65_69",85,50,4,0,0,0,1,0,1,0
"Gistel",1396,752,0.538681948424069,"female","65_69",94,57,4,0,0,0,1,0,0,1
"Gistel",1396,752,0.538681948424069,"male","70_74",93,61,5,0,0,0,0,1,1,0
"Gistel",1396,752,0.538681948424069,"female","70_74",103,62,5,0,0,0,0,1,0,1
"Glabbeek",709,351,0.495063469675599,"male","50_54",123,48,1,1,0,0,0,0,1,0
"Glabbeek",709,351,0.495063469675599,"female","50_54",103,52,1,1,0,0,0,0,0,1
"Glabbeek",709,351,0.495063469675599,"male","55_59",92,41,2,0,1,0,0,0,1,0
"Glabbeek",709,351,0.495063469675599,"female","55_59",87,45,2,0,1,0,0,0,0,1
"Glabbeek",709,351,0.495063469675599,"male","60_64",76,44,3,0,0,1,0,0,1,0
"Glabbeek",709,351,0.495063469675599,"female","60_64",56,35,3,0,0,1,0,0,0,1
"Glabbeek",709,351,0.495063469675599,"male","65_69",37,17,4,0,0,0,1,0,1,0
"Glabbeek",709,351,0.495063469675599,"female","65_69",41,20,4,0,0,0,1,0,0,1
"Glabbeek",709,351,0.495063469675599,"male","70_74",52,27,5,0,0,0,0,1,1,0
"Glabbeek",709,351,0.495063469675599,"female","70_74",42,22,5,0,0,0,0,1,0,1
"Gooik",1166,567,0.486277873070326,"male","50_54",164,66,1,1,0,0,0,0,1,0
"Gooik",1166,567,0.486277873070326,"female","50_54",171,77,1,1,0,0,0,0,0,1
"Gooik",1166,567,0.486277873070326,"male","55_59",163,60,2,0,1,0,0,0,1,0
"Gooik",1166,567,0.486277873070326,"female","55_59",132,72,2,0,1,0,0,0,0,1
"Gooik",1166,567,0.486277873070326,"male","60_64",101,55,3,0,0,1,0,0,1,0
"Gooik",1166,567,0.486277873070326,"female","60_64",114,68,3,0,0,1,0,0,0,1
"Gooik",1166,567,0.486277873070326,"male","65_69",85,46,4,0,0,0,1,0,1,0
"Gooik",1166,567,0.486277873070326,"female","65_69",86,47,4,0,0,0,1,0,0,1
"Gooik",1166,567,0.486277873070326,"male","70_74",80,39,5,0,0,0,0,1,1,0
"Gooik",1166,567,0.486277873070326,"female","70_74",70,37,5,0,0,0,0,1,0,1
"Grimbergen",4113,1505,0.365912958910771,"male","50_54",700,200,1,1,0,0,0,0,1,0
"Grimbergen",4113,1505,0.365912958910771,"female","50_54",669,193,1,1,0,0,0,0,0,1
"Grimbergen",4113,1505,0.365912958910771,"male","55_59",531,170,2,0,1,0,0,0,1,0
"Grimbergen",4113,1505,0.365912958910771,"female","55_59",508,164,2,0,1,0,0,0,0,1
"Grimbergen",4113,1505,0.365912958910771,"male","60_64",320,154,3,0,0,1,0,0,1,0
"Grimbergen",4113,1505,0.365912958910771,"female","60_64",350,176,3,0,0,1,0,0,0,1
"Grimbergen",4113,1505,0.365912958910771,"male","65_69",263,107,4,0,0,0,1,0,1,0
"Grimbergen",4113,1505,0.365912958910771,"female","65_69",264,125,4,0,0,0,1,0,0,1
"Grimbergen",4113,1505,0.365912958910771,"male","70_74",234,106,5,0,0,0,0,1,1,0
"Grimbergen",4113,1505,0.365912958910771,"female","70_74",274,110,5,0,0,0,0,1,0,1
"Grobbendonk",1391,780,0.560747663551402,"male","50_54",225,97,1,1,0,0,0,0,1,0
"Grobbendonk",1391,780,0.560747663551402,"female","50_54",181,95,1,1,0,0,0,0,0,1
"Grobbendonk",1391,780,0.560747663551402,"male","55_59",186,95,2,0,1,0,0,0,1,0
"Grobbendonk",1391,780,0.560747663551402,"female","55_59",154,84,2,0,1,0,0,0,0,1
"Grobbendonk",1391,780,0.560747663551402,"male","60_64",145,90,3,0,0,1,0,0,1,0
"Grobbendonk",1391,780,0.560747663551402,"female","60_64",128,85,3,0,0,1,0,0,0,1
"Grobbendonk",1391,780,0.560747663551402,"male","65_69",101,59,4,0,0,0,1,0,1,0
"Grobbendonk",1391,780,0.560747663551402,"female","65_69",98,66,4,0,0,0,1,0,0,1
"Grobbendonk",1391,780,0.560747663551402,"male","70_74",87,49,5,0,0,0,0,1,1,0
"Grobbendonk",1391,780,0.560747663551402,"female","70_74",86,60,5,0,0,0,0,1,0,1
"Haacht",1784,944,0.52914798206278,"male","50_54",245,105,1,1,0,0,0,0,1,0
"Haacht",1784,944,0.52914798206278,"female","50_54",265,130,1,1,0,0,0,0,0,1
"Haacht",1784,944,0.52914798206278,"male","55_59",215,96,2,0,1,0,0,0,1,0
"Haacht",1784,944,0.52914798206278,"female","55_59",208,98,2,0,1,0,0,0,0,1
"Haacht",1784,944,0.52914798206278,"male","60_64",168,106,3,0,0,1,0,0,1,0
"Haacht",1784,944,0.52914798206278,"female","60_64",171,99,3,0,0,1,0,0,0,1
"Haacht",1784,944,0.52914798206278,"male","65_69",127,74,4,0,0,0,1,0,1,0
"Haacht",1784,944,0.52914798206278,"female","65_69",135,92,4,0,0,0,1,0,0,1
"Haacht",1784,944,0.52914798206278,"male","70_74",122,65,5,0,0,0,0,1,1,0
"Haacht",1784,944,0.52914798206278,"female","70_74",128,79,5,0,0,0,0,1,0,1
"Haaltert",2169,1041,0.479944674965422,"male","50_54",353,117,1,1,0,0,0,0,1,0
"Haaltert",2169,1041,0.479944674965422,"female","50_54",318,139,1,1,0,0,0,0,0,1
"Haaltert",2169,1041,0.479944674965422,"male","55_59",281,103,2,0,1,0,0,0,1,0
"Haaltert",2169,1041,0.479944674965422,"female","55_59",236,115,2,0,1,0,0,0,0,1
"Haaltert",2169,1041,0.479944674965422,"male","60_64",205,111,3,0,0,1,0,0,1,0
"Haaltert",2169,1041,0.479944674965422,"female","60_64",209,142,3,0,0,1,0,0,0,1
"Haaltert",2169,1041,0.479944674965422,"male","65_69",137,86,4,0,0,0,1,0,1,0
"Haaltert",2169,1041,0.479944674965422,"female","65_69",145,90,4,0,0,0,1,0,0,1
"Haaltert",2169,1041,0.479944674965422,"male","70_74",142,61,5,0,0,0,0,1,1,0
"Haaltert",2169,1041,0.479944674965422,"female","70_74",143,77,5,0,0,0,0,1,0,1
"Halen",1000,520,0.52,"male","50_54",159,62,1,1,0,0,0,0,1,0
"Halen",1000,520,0.52,"female","50_54",142,57,1,1,0,0,0,0,0,1
"Halen",1000,520,0.52,"male","55_59",138,69,2,0,1,0,0,0,1,0
"Halen",1000,520,0.52,"female","55_59",113,52,2,0,1,0,0,0,0,1
"Halen",1000,520,0.52,"male","60_64",108,57,3,0,0,1,0,0,1,0
"Halen",1000,520,0.52,"female","60_64",82,54,3,0,0,1,0,0,0,1
"Halen",1000,520,0.52,"male","65_69",61,40,4,0,0,0,1,0,1,0
"Halen",1000,520,0.52,"female","65_69",71,48,4,0,0,0,1,0,0,1
"Halen",1000,520,0.52,"male","70_74",65,39,5,0,0,0,0,1,1,0
"Halen",1000,520,0.52,"female","70_74",61,42,5,0,0,0,0,1,0,1
"Halle",4138,1516,0.366360560657322,"male","50_54",692,197,1,1,0,0,0,0,1,0
"Halle",4138,1516,0.366360560657322,"female","50_54",667,229,1,1,0,0,0,0,0,1
"Halle",4138,1516,0.366360560657322,"male","55_59",511,146,2,0,1,0,0,0,1,0
"Halle",4138,1516,0.366360560657322,"female","55_59",523,161,2,0,1,0,0,0,0,1
"Halle",4138,1516,0.366360560657322,"male","60_64",357,149,3,0,0,1,0,0,1,0
"Halle",4138,1516,0.366360560657322,"female","60_64",327,161,3,0,0,1,0,0,0,1
"Halle",4138,1516,0.366360560657322,"male","65_69",248,105,4,0,0,0,1,0,1,0
"Halle",4138,1516,0.366360560657322,"female","65_69",269,113,4,0,0,0,1,0,0,1
"Halle",4138,1516,0.366360560657322,"male","70_74",251,117,5,0,0,0,0,1,1,0
"Halle",4138,1516,0.366360560657322,"female","70_74",293,138,5,0,0,0,0,1,0,1
"Ham",1213,655,0.539983511953833,"male","50_54",210,76,1,1,0,0,0,0,1,0
"Ham",1213,655,0.539983511953833,"female","50_54",191,102,1,1,0,0,0,0,0,1
"Ham",1213,655,0.539983511953833,"male","55_59",158,71,2,0,1,0,0,0,1,0
"Ham",1213,655,0.539983511953833,"female","55_59",138,69,2,0,1,0,0,0,0,1
"Ham",1213,655,0.539983511953833,"male","60_64",106,76,3,0,0,1,0,0,1,0
"Ham",1213,655,0.539983511953833,"female","60_64",103,70,3,0,0,1,0,0,0,1
"Ham",1213,655,0.539983511953833,"male","65_69",68,38,4,0,0,0,1,0,1,0
"Ham",1213,655,0.539983511953833,"female","65_69",68,51,4,0,0,0,1,0,0,1
"Ham",1213,655,0.539983511953833,"male","70_74",84,51,5,0,0,0,0,1,1,0
"Ham",1213,655,0.539983511953833,"female","70_74",87,51,5,0,0,0,0,1,0,1
"Hamme",2737,1342,0.490317866276946,"male","50_54",450,160,1,1,0,0,0,0,1,0
"Hamme",2737,1342,0.490317866276946,"female","50_54",392,181,1,1,0,0,0,0,0,1
"Hamme",2737,1342,0.490317866276946,"male","55_59",356,150,2,0,1,0,0,0,1,0
"Hamme",2737,1342,0.490317866276946,"female","55_59",319,151,2,0,1,0,0,0,0,1
"Hamme",2737,1342,0.490317866276946,"male","60_64",241,134,3,0,0,1,0,0,1,0
"Hamme",2737,1342,0.490317866276946,"female","60_64",224,128,3,0,0,1,0,0,0,1
"Hamme",2737,1342,0.490317866276946,"male","65_69",163,98,4,0,0,0,1,0,1,0
"Hamme",2737,1342,0.490317866276946,"female","65_69",211,135,4,0,0,0,1,0,0,1
"Hamme",2737,1342,0.490317866276946,"male","70_74",162,84,5,0,0,0,0,1,1,0
"Hamme",2737,1342,0.490317866276946,"female","70_74",219,121,5,0,0,0,0,1,0,1
"Hamont-Achel",1644,980,0.596107055961071,"male","50_54",260,115,1,1,0,0,0,0,1,0
"Hamont-Achel",1644,980,0.596107055961071,"female","50_54",213,110,1,1,0,0,0,0,0,1
"Hamont-Achel",1644,980,0.596107055961071,"male","55_59",237,118,2,0,1,0,0,0,1,0
"Hamont-Achel",1644,980,0.596107055961071,"female","55_59",194,122,2,0,1,0,0,0,0,1
"Hamont-Achel",1644,980,0.596107055961071,"male","60_64",166,117,3,0,0,1,0,0,1,0
"Hamont-Achel",1644,980,0.596107055961071,"female","60_64",144,102,3,0,0,1,0,0,0,1
"Hamont-Achel",1644,980,0.596107055961071,"male","65_69",118,87,4,0,0,0,1,0,1,0
"Hamont-Achel",1644,980,0.596107055961071,"female","65_69",104,73,4,0,0,0,1,0,0,1
"Hamont-Achel",1644,980,0.596107055961071,"male","70_74",106,69,5,0,0,0,0,1,1,0
"Hamont-Achel",1644,980,0.596107055961071,"female","70_74",102,67,5,0,0,0,0,1,0,1
"Harelbeke",3149,1602,0.508732931089235,"male","50_54",461,175,1,1,0,0,0,0,1,0
"Harelbeke",3149,1602,0.508732931089235,"female","50_54",452,205,1,1,0,0,0,0,0,1
"Harelbeke",3149,1602,0.508732931089235,"male","55_59",420,183,2,0,1,0,0,0,1,0
"Harelbeke",3149,1602,0.508732931089235,"female","55_59",395,198,2,0,1,0,0,0,0,1
"Harelbeke",3149,1602,0.508732931089235,"male","60_64",291,176,3,0,0,1,0,0,1,0
"Harelbeke",3149,1602,0.508732931089235,"female","60_64",289,179,3,0,0,1,0,0,0,1
"Harelbeke",3149,1602,0.508732931089235,"male","65_69",186,111,4,0,0,0,1,0,1,0
"Harelbeke",3149,1602,0.508732931089235,"female","65_69",222,133,4,0,0,0,1,0,0,1
"Harelbeke",3149,1602,0.508732931089235,"male","70_74",199,104,5,0,0,0,0,1,1,0
"Harelbeke",3149,1602,0.508732931089235,"female","70_74",234,138,5,0,0,0,0,1,0,1
"Hasselt",8772,4550,0.518695850433197,"male","50_54",1332,530,1,1,0,0,0,0,1,0
"Hasselt",8772,4550,0.518695850433197,"female","50_54",1216,571,1,1,0,0,0,0,0,1
"Hasselt",8772,4550,0.518695850433197,"male","55_59",969,403,2,0,1,0,0,0,1,0
"Hasselt",8772,4550,0.518695850433197,"female","55_59",1002,478,2,0,1,0,0,0,0,1
"Hasselt",8772,4550,0.518695850433197,"male","60_64",839,493,3,0,0,1,0,0,1,0
"Hasselt",8772,4550,0.518695850433197,"female","60_64",859,563,3,0,0,1,0,0,0,1
"Hasselt",8772,4550,0.518695850433197,"male","65_69",568,346,4,0,0,0,1,0,1,0
"Hasselt",8772,4550,0.518695850433197,"female","65_69",724,440,4,0,0,0,1,0,0,1
"Hasselt",8772,4550,0.518695850433197,"male","70_74",617,366,5,0,0,0,0,1,1,0
"Hasselt",8772,4550,0.518695850433197,"female","70_74",646,360,5,0,0,0,0,1,0,1
"Hechtel-Eksel",1437,807,0.561586638830898,"male","50_54",207,86,1,1,0,0,0,0,1,0
"Hechtel-Eksel",1437,807,0.561586638830898,"female","50_54",187,100,1,1,0,0,0,0,0,1
"Hechtel-Eksel",1437,807,0.561586638830898,"male","55_59",210,94,2,0,1,0,0,0,1,0
"Hechtel-Eksel",1437,807,0.561586638830898,"female","55_59",179,96,2,0,1,0,0,0,0,1
"Hechtel-Eksel",1437,807,0.561586638830898,"male","60_64",139,95,3,0,0,1,0,0,1,0
"Hechtel-Eksel",1437,807,0.561586638830898,"female","60_64",130,81,3,0,0,1,0,0,0,1
"Hechtel-Eksel",1437,807,0.561586638830898,"male","65_69",96,63,4,0,0,0,1,0,1,0
"Hechtel-Eksel",1437,807,0.561586638830898,"female","65_69",104,75,4,0,0,0,1,0,0,1
"Hechtel-Eksel",1437,807,0.561586638830898,"male","70_74",94,58,5,0,0,0,0,1,1,0
"Hechtel-Eksel",1437,807,0.561586638830898,"female","70_74",91,59,5,0,0,0,0,1,0,1
"Heers",942,485,0.514861995753715,"male","50_54",151,48,1,1,0,0,0,0,1,0
"Heers",942,485,0.514861995753715,"female","50_54",137,68,1,1,0,0,0,0,0,1
"Heers",942,485,0.514861995753715,"male","55_59",125,52,2,0,1,0,0,0,1,0
"Heers",942,485,0.514861995753715,"female","55_59",106,52,2,0,1,0,0,0,0,1
"Heers",942,485,0.514861995753715,"male","60_64",82,42,3,0,0,1,0,0,1,0
"Heers",942,485,0.514861995753715,"female","60_64",78,51,3,0,0,1,0,0,0,1
"Heers",942,485,0.514861995753715,"male","65_69",80,52,4,0,0,0,1,0,1,0
"Heers",942,485,0.514861995753715,"female","65_69",63,47,4,0,0,0,1,0,0,1
"Heers",942,485,0.514861995753715,"male","70_74",56,32,5,0,0,0,0,1,1,0
"Heers",942,485,0.514861995753715,"female","70_74",64,41,5,0,0,0,0,1,0,1
"Heist-op-den-Berg",5221,2779,0.532273510821682,"male","50_54",794,303,1,1,0,0,0,0,1,0
"Heist-op-den-Berg",5221,2779,0.532273510821682,"female","50_54",745,370,1,1,0,0,0,0,0,1
"Heist-op-den-Berg",5221,2779,0.532273510821682,"male","55_59",719,312,2,0,1,0,0,0,1,0
"Heist-op-den-Berg",5221,2779,0.532273510821682,"female","55_59",627,319,2,0,1,0,0,0,0,1
"Heist-op-den-Berg",5221,2779,0.532273510821682,"male","60_64",496,310,3,0,0,1,0,0,1,0
"Heist-op-den-Berg",5221,2779,0.532273510821682,"female","60_64",499,341,3,0,0,1,0,0,0,1
"Heist-op-den-Berg",5221,2779,0.532273510821682,"male","65_69",348,201,4,0,0,0,1,0,1,0
"Heist-op-den-Berg",5221,2779,0.532273510821682,"female","65_69",354,243,4,0,0,0,1,0,0,1
"Heist-op-den-Berg",5221,2779,0.532273510821682,"male","70_74",315,190,5,0,0,0,0,1,1,0
"Heist-op-den-Berg",5221,2779,0.532273510821682,"female","70_74",324,190,5,0,0,0,0,1,0,1
"Hemiksem",1181,525,0.444538526672312,"male","50_54",207,84,1,1,0,0,0,0,1,0
"Hemiksem",1181,525,0.444538526672312,"female","50_54",192,75,1,1,0,0,0,0,0,1
"Hemiksem",1181,525,0.444538526672312,"male","55_59",160,46,2,0,1,0,0,0,1,0
"Hemiksem",1181,525,0.444538526672312,"female","55_59",146,65,2,0,1,0,0,0,0,1
"Hemiksem",1181,525,0.444538526672312,"male","60_64",104,56,3,0,0,1,0,0,1,0
"Hemiksem",1181,525,0.444538526672312,"female","60_64",85,52,3,0,0,1,0,0,0,1
"Hemiksem",1181,525,0.444538526672312,"male","65_69",77,37,4,0,0,0,1,0,1,0
"Hemiksem",1181,525,0.444538526672312,"female","65_69",65,36,4,0,0,0,1,0,0,1
"Hemiksem",1181,525,0.444538526672312,"male","70_74",76,39,5,0,0,0,0,1,1,0
"Hemiksem",1181,525,0.444538526672312,"female","70_74",69,35,5,0,0,0,0,1,0,1
"Herent",2370,1219,0.514345991561181,"male","50_54",342,147,1,1,0,0,0,0,1,0
"Herent",2370,1219,0.514345991561181,"female","50_54",352,170,1,1,0,0,0,0,0,1
"Herent",2370,1219,0.514345991561181,"male","55_59",301,129,2,0,1,0,0,0,1,0
"Herent",2370,1219,0.514345991561181,"female","55_59",313,142,2,0,1,0,0,0,0,1
"Herent",2370,1219,0.514345991561181,"male","60_64",220,131,3,0,0,1,0,0,1,0
"Herent",2370,1219,0.514345991561181,"female","60_64",196,118,3,0,0,1,0,0,0,1
"Herent",2370,1219,0.514345991561181,"male","65_69",166,105,4,0,0,0,1,0,1,0
"Herent",2370,1219,0.514345991561181,"female","65_69",187,115,4,0,0,0,1,0,0,1
"Herent",2370,1219,0.514345991561181,"male","70_74",139,67,5,0,0,0,0,1,1,0
"Herent",2370,1219,0.514345991561181,"female","70_74",154,95,5,0,0,0,0,1,0,1
"Herentals",3244,1678,0.517262638717633,"male","50_54",462,187,1,1,0,0,0,0,1,0
"Herentals",3244,1678,0.517262638717633,"female","50_54",463,214,1,1,0,0,0,0,0,1
"Herentals",3244,1678,0.517262638717633,"male","55_59",426,170,2,0,1,0,0,0,1,0
"Herentals",3244,1678,0.517262638717633,"female","55_59",424,214,2,0,1,0,0,0,0,1
"Herentals",3244,1678,0.517262638717633,"male","60_64",326,196,3,0,0,1,0,0,1,0
"Herentals",3244,1678,0.517262638717633,"female","60_64",313,210,3,0,0,1,0,0,0,1
"Herentals",3244,1678,0.517262638717633,"male","65_69",214,130,4,0,0,0,1,0,1,0
"Herentals",3244,1678,0.517262638717633,"female","65_69",217,132,4,0,0,0,1,0,0,1
"Herentals",3244,1678,0.517262638717633,"male","70_74",180,99,5,0,0,0,0,1,1,0
